,_psi_cos,_psi_sin,psi,speed,vx,vy,x,y
0,-0.9271838545667874,-0.374606593415912,202,1,-0.374606593415912,-0.9271838545667874,300,979
1,-0.9271838545667874,-0.374606593415912,202,1,-0.374606593415912,-0.9271838545667874,300,978
2,-0.9271838545667874,-0.374606593415912,202,1,-0.374606593415912,-0.9271838545667874,300,977
3,-0.9335804264972017,-0.35836794954530043,201,1,-0.35836794954530043,-0.9335804264972017,299,976
4,-0.9335804264972017,-0.35836794954530043,201,1,-0.35836794954530043,-0.9335804264972017,299,974
5,-0.9335804264972017,-0.35836794954530043,201,1,-0.35836794954530043,-0.9335804264972017,298,973
6,-0.9335804264972017,-0.35836794954530043,201,1,-0.35836794954530043,-0.9335804264972017,298,972
7,-0.9396926207859084,-0.34202014332566866,200,1,-0.34202014332566866,-0.9396926207859084,297,971
8,-0.9396926207859084,-0.34202014332566866,200,1,-0.34202014332566866,-0.9396926207859084,297,970
9,-0.9396926207859084,-0.34202014332566866,200,1,-0.34202014332566866,-0.9396926207859084,296,968
10,-0.9396926207859084,-0.34202014332566866,200,1,-0.34202014332566866,-0.9396926207859084,296,967
11,-0.9396926207859084,-0.34202014332566866,200,1,-0.34202014332566866,-0.9396926207859084,296,966
12,-0.9455185755993167,-0.32556815445715676,199,1,-0.32556815445715676,-0.9455185755993167,295,965
13,-0.9455185755993167,-0.32556815445715676,199,1,-0.32556815445715676,-0.9455185755993167,295,964
14,-0.9455185755993167,-0.32556815445715676,199,1,-0.32556815445715676,-0.9455185755993167,294,963
15,-0.9510565162951536,-0.3090169943749473,198,1,-0.3090169943749473,-0.9510565162951536,294,961
16,-0.9510565162951536,-0.3090169943749473,198,1,-0.3090169943749473,-0.9510565162951536,294,960
17,-0.9510565162951536,-0.3090169943749473,198,1,-0.3090169943749473,-0.9510565162951536,293,959
18,-0.9563047559630354,-0.29237170472273677,197,1,-0.29237170472273677,-0.9563047559630354,293,958
19,-0.9563047559630354,-0.29237170472273677,197,1,-0.29237170472273677,-0.9563047559630354,292,957
20,-0.9563047559630354,-0.29237170472273677,197,1,-0.29237170472273677,-0.9563047559630354,292,955
21,-0.9563047559630354,-0.29237170472273677,197,1,-0.29237170472273677,-0.9563047559630354,292,954
22,-0.9612616959383189,-0.275637355816999,196,1,-0.275637355816999,-0.9612616959383189,291,953
23,-0.9612616959383189,-0.275637355816999,196,1,-0.275637355816999,-0.9612616959383189,291,952
24,-0.9612616959383189,-0.275637355816999,196,1,-0.275637355816999,-0.9612616959383189,291,951
25,-0.9659258262890683,-0.2588190451025208,195,1,-0.2588190451025208,-0.9659258262890683,290,949
26,-0.9659258262890683,-0.2588190451025208,195,1,-0.2588190451025208,-0.9659258262890683,290,948
27,-0.9659258262890683,-0.2588190451025208,195,1,-0.2588190451025208,-0.9659258262890683,290,947
28,-0.9702957262759965,-0.2419218955996675,194,1,-0.2419218955996675,-0.9702957262759965,289,946
29,-0.9702957262759965,-0.2419218955996675,194,1,-0.2419218955996675,-0.9702957262759965,289,944
30,-0.9702957262759965,-0.2419218955996675,194,1,-0.2419218955996675,-0.9702957262759965,289,943
31,-0.9702957262759965,-0.2419218955996675,194,1,-0.2419218955996675,-0.9702957262759965,288,942
32,-0.9702957262759965,-0.2419218955996675,194,1,-0.2419218955996675,-0.9702957262759965,288,941
33,-0.9743700647852352,-0.22495105434386498,193,1,-0.22495105434386498,-0.9743700647852352,288,940
34,-0.9743700647852352,-0.22495105434386498,193,1,-0.22495105434386498,-0.9743700647852352,288,938
35,-0.9743700647852352,-0.22495105434386498,193,1,-0.22495105434386498,-0.9743700647852352,287,937
36,-0.9781476007338056,-0.2079116908177595,192,1,-0.2079116908177595,-0.9781476007338056,287,936
37,-0.9781476007338056,-0.2079116908177595,192,1,-0.2079116908177595,-0.9781476007338056,287,935
38,-0.9781476007338056,-0.2079116908177595,192,1,-0.2079116908177595,-0.9781476007338056,287,933
39,-0.981627183447664,-0.19080899537654472,191,1,-0.19080899537654472,-0.981627183447664,286,932
40,-0.981627183447664,-0.19080899537654472,191,1,-0.19080899537654472,-0.981627183447664,286,931
41,-0.981627183447664,-0.19080899537654472,191,1,-0.19080899537654472,-0.981627183447664,286,930
42,-0.984807753012208,-0.17364817766693047,190,1,-0.17364817766693047,-0.984807753012208,286,928
43,-0.984807753012208,-0.17364817766693047,190,1,-0.17364817766693047,-0.984807753012208,285,927
44,-0.984807753012208,-0.17364817766693047,190,1,-0.17364817766693047,-0.984807753012208,285,926
45,-0.9876883405951378,-0.15643446504023073,189,1,-0.15643446504023073,-0.9876883405951378,285,925
46,-0.9876883405951378,-0.15643446504023073,189,1,-0.15643446504023073,-0.9876883405951378,285,924
47,-0.9876883405951378,-0.15643446504023073,189,1,-0.15643446504023073,-0.9876883405951378,285,922
48,-0.9902680687415703,-0.13917310096006552,188,1,-0.13917310096006552,-0.9902680687415703,284,921
49,-0.9902680687415703,-0.13917310096006552,188,1,-0.13917310096006552,-0.9902680687415703,284,920
50,-0.9902680687415703,-0.13917310096006552,188,1,-0.13917310096006552,-0.9902680687415703,284,919
51,-0.9925461516413221,-0.12186934340514731,187,1,-0.12186934340514731,-0.9925461516413221,284,917
52,-0.9925461516413221,-0.12186934340514731,187,1,-0.12186934340514731,-0.9925461516413221,284,916
53,-0.9925461516413221,-0.12186934340514731,187,1,-0.12186934340514731,-0.9925461516413221,284,915
54,-0.9945218953682733,-0.1045284632676535,186,1,-0.1045284632676535,-0.9945218953682733,283,914
55,-0.9945218953682733,-0.1045284632676535,186,1,-0.1045284632676535,-0.9945218953682733,283,912
